OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
574,52.31784,-3.55652,270000,294000,0,0.1,0.2,0.3,0.6,1.7,0.4,0.7,1.6,0.7,1.1,1.9,0.6,1.3,2.5,1.2,2.4,5,3.9,5.4,11,384911379.730713,78476.7252770669
575,52.32002,-3.38053,270000,306000,0,0.1,0.2,0.6,0.9,2.3,0.7,1.1,2.2,1,1.6,2.8,1.2,2.3,4,2.6,3.6,7.2,5.9,7.6,15.3,384976667.224609,78483.3801761735
576,52.32195,-3.20452,270000,318000,0,0.1,0.2,0.4,0.8,2.2,0.5,0.9,2.1,1,1.4,2.9,1.1,2.4,3.6,2.4,3.2,7.1,5.2,7.3,14.4,385034005.20874,78489.2241177561
577,52.32361,-3.02849,270000,330000,0.2,0.2,0.3,1,1.4,2.9,1.1,1.6,3.2,1.8,2.3,4.2,2,3.6,5.5,4.1,5.1,10,7.6,10.5,19.4,385071829.918213,78493.0810254313
578,52.32502,-2.85244,270000,342000,0.2,0.3,0.4,1.2,1.9,3.5,1.3,2.3,4.6,2.3,3.6,5.5,2.8,4.9,7.8,5.5,7,12.5,10,13.2,23.8,385105916.106812,78496.5545434359
579,52.32616,-2.67638,270000,354000,0.3,0.4,0.4,1.4,2.1,3.6,1.5,2.9,5.3,2.5,4,6,3.4,5.1,8.4,6,7.6,13.5,11,14.5,25.1,385140616.627686,78500.0892996861
580,52.32703,-2.50031,270000,366000,0.3,0.4,0.5,1.6,2.2,3.4,1.7,2.9,5.3,2.5,4.2,5.8,3.6,4.9,7.6,6,7.3,12.7,11,14.3,24.4,385159884.792847,78502.0537701109
581,52.32765,-2.32424,270000,378000,0.8,1,1.2,2.2,3.2,4.7,2.5,3.9,7.4,3.8,6,8.1,5.6,7.4,10.3,8.6,10.7,16.4,15.1,18.6,29,385178927.911133,78503.9940333596
582,52.328,-2.14815,270000,390000,1.1,1.2,1.5,2.8,3.9,5.8,3.2,4.7,8.7,4.9,7.3,10,6.7,9.1,12.2,10.1,13,18.9,17.7,21.5,32,385190372.469238,78505.1594952564
583,52.32809,-1.97207,270000,402000,0.8,1,1.2,2.2,3.2,4.6,2.7,4,7.1,3.9,6.1,8,5.8,7.2,10,8.4,10.8,16.3,15.2,19.1,28.8,385185181.775391,78504.6311713261
584,52.32792,-1.79598,270000,414000,0.9,1,1.2,2.2,3.2,4.5,2.8,4,7.1,4,6.3,8.1,5.7,7.2,10.4,8.7,10.8,16.3,15.1,19.1,28.5,385186449.376099,78504.760272954
585,52.32749,-1.6199,270000,426000,1,1.1,1.4,2.5,3.6,4.8,3.2,4.3,7.4,4.4,7,8.6,6.5,8.3,11,9,12.4,17.8,16.7,20.8,30.7,385176563.32312,78503.753555579
586,52.32679,-1.44383,270000,438000,1,1.1,1.4,2.8,3.7,4.9,3.2,4.3,7.9,4.6,7.1,9.2,6.6,8.9,11.6,9.5,12.8,18.5,17.3,21.3,31.9,385156592.566467,78501.7184008661
587,52.32583,-1.26776,270000,450000,1,1.1,1.2,2.8,3.8,4.9,3.3,4.5,7.8,4.6,7.3,9.3,6.5,8.9,12,9.7,12.6,18.8,16.8,21.3,31,385131701.729065,78499.1808669928
588,52.32461,-1.09171,270000,462000,0.8,0.9,1,2.2,3.3,4.4,2.6,4,7.1,4.1,6.4,8.7,5.9,8.1,11,8.7,11.2,17.3,15.7,19.5,28.9,385090196.687622,78494.9516810291
589,52.32312,-0.91567,270000,474000,0.7,0.8,0.9,2.2,3.2,4.5,2.5,4,7.3,4.2,6.3,8.9,5.6,8,10.7,8.9,11.2,16.9,15.4,19.6,29.3,385047958.300049,78490.6461822103
590,52.32138,-0.73964,270000,486000,0.9,1,1.2,2.6,3.9,5.4,3.4,4.5,8.4,5,7.1,10.6,6.8,9.6,12.5,10.6,12.7,19,17.4,21.5,31.3,385002244.181122,78485.9870109493
